"Name","Team","ERA","ShO","SV","H","R","ER","BB","SO","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","Starting","Relieving","Start-IP","Relief-IP","K%","BB%","Age","playerid"
"Carl Edwards Jr.","Cubs","2.50","0","0","28","12","11","17","56","12.71","3.86","3.29","6.35","0.45",".192","1.13",".295","78.2 %","2.28","","11.3","","39.2","34.4 %","10.4 %","26","13607"
"Kelvin Herrera","- - -","2.53","0","17","42","12","12","10","37","7.80","2.11","3.70","8.86","1.27",".253","1.22",".293","91.9 %","4.03","","2.8","","42.2","20.9 %","5.7 %","28","6033"
"Seung Hwan Oh","- - -","2.54","0","3","43","16","16","13","61","9.69","2.06","4.69","6.83","0.95",".205","0.99",".259","85.0 %","3.23","","9.8","","56.2","27.0 %","5.8 %","35","18719"
"Matt Barnes","Red Sox","2.55","0","0","34","15","15","26","83","14.09","4.42","3.19","5.77","0.34",".174","1.13",".291","79.4 %","2.11","","16.0","","53.0","37.2 %","11.7 %","28","12863"
"Dylan Floro","- - -","2.55","0","0","45","16","15","18","45","7.64","3.06","2.50","7.64","0.51",".223","1.19",".273","80.3 %","3.28","","6.5","","52.3","20.4 %","8.1 %","27","13394"
"Pedro Strop","Cubs","2.57","0","10","33","14","14","17","50","9.18","3.12","2.94","6.06","0.55",".186","1.02",".242","79.9 %","3.14","","8.1","","49.0","25.4 %","8.6 %","33","4070"
"Seth Lugo","Mets","2.58","0","1","47","19","17","21","52","7.89","3.19","2.48","7.13","0.61",".214","1.15",".262","79.2 %","3.45","","5.7","","59.1","21.4 %","8.6 %","28","12447"
"Hector Velazquez","Red Sox","2.58","0","0","53","13","13","12","24","4.76","2.38","2.00","10.52","0.40",".296","1.43",".333","84.4 %","3.67","","2.7","","45.1","12.4 %","6.2 %","29","19341"
"Matt Grace","Nationals","2.58","0","0","40","15","13","11","38","7.54","2.18","3.45","7.94","0.79",".231","1.13",".275","80.2 %","3.49","","3.5","","45.1","20.4 %","5.9 %","29","11449"
"Jesse Biddle","Braves","2.63","0","1","36","16","14","20","50","9.38","3.75","2.50","6.75","0.75",".208","1.17",".269","80.2 %","3.54","","3.8","","48.0","25.6 %","10.3 %","26","11437"
"James Pazos","Mariners","2.68","0","0","37","15","12","10","35","7.81","2.23","3.50","8.26","0.45",".242","1.17",".302","75.2 %","3.19","","6.0","","40.1","20.8 %","6.0 %","27","13323"
"Brad Hand","- - -","2.68","0","28","42","23","17","19","81","12.79","3.00","4.26","6.63","0.95",".201","1.07",".295","75.5 %","3.06","","10.4","","56.3","34.5 %","8.1 %","28","9111"
"Dan Winkler","Braves","2.72","0","1","39","18","15","14","62","11.23","2.54","4.43","7.07","0.54",".210","1.07",".298","73.9 %","2.54","","10.9","","49.2","30.4 %","6.9 %","28","12237"
"Chad Green","Yankees","2.75","0","0","51","19","18","11","68","10.37","1.68","6.18","7.78","1.07",".231","1.05",".301","82.7 %","3.01","","12.0","","59.0","29.2 %","4.7 %","27","15552"
"Jose Alvarez","Angels","2.75","0","0","46","17","16","20","50","8.60","3.44","2.50","7.91","0.52",".229","1.26",".291","79.9 %","3.26","","7.9","","52.1","22.4 %","9.0 %","29","5358"
