"Name","Team","FP","E","playerid"
"Eddie Rosario","MIN",".968","7","12155"
"Juan Lagares","NYM","1.000","0","5384"
"Erik Kratz","MIL",".997","1","4403"
"Daniel Robertson","TBR",".987","2","14145"
"Corey Dickerson","PIT","1.000","0","10762"
"Guillermo Heredia","SEA","1.000","0","18721"
"Tom Murphy","COL",".975","5","13499"
"Johnny Field","- - -","1.000","0","15048"
"Adam Frazier","PIT",".964","4","15223"
"Javier Baez","CHC",".965","4","12979"
"Brock Holt","BOS","1.000","0","9345"
"Enrique Hernandez","LAD","1.000","0","10472"
"Joey Gallo","TEX",".971","1","14128"
"Brett Gardner","NYY","1.000","0","9927"
"Neil Walker","NYY","1.000","0","7539"
"Kyle Farmer","LAD",".976","1","14813"
"Tyler O'Neill","STL",".955","1","15711"
"Jake Smolinski","OAK","1.000","0","5408"
"Wil Myers","SDP","1.000","0","10047"
"Drew Robinson","TEX",".972","1","11761"
"Kevin Plawecki","NYM",".990","4","13807"
"David Fletcher","LAA",".987","1","17992"
"Francisco Pena","STL",".996","1","8298"
"Yulieski Gurriel","HOU","1.000","0","19198"
"Kaleb Cowart","LAA","1.000","0","11494"
"Chris Herrmann","SEA",".990","1","9284"
"John Ryan Murphy","ARI",".984","6","10346"
"Cesar Hernandez","PHI",".981","9","10556"
"Ben Zobrist","CHC","1.000","0","7435"
"Sean Rodriguez","PIT",".968","2","6589"
"Drew Butera","KCR",".993","2","3411"
"Ronald Torreyes","NYY","1.000","0","11400"
"Travis Jankowski","SDP","1.000","0","13768"
"Jake Cave","MIN",".962","3","14477"
"Mac Williamson","SFG","1.000","0","14158"
"Jurickson Profar","TEX",".976","1","10815"
"Jurickson Profar","TEX","1.000","0","10815"
"Tomas Nido","NYM",".984","2","13755"
"Joc Pederson","LAD",".988","1","11899"
"Ryan Flaherty","ATL",".970","2","7888"
"Craig Gentry","BAL","1.000","0","9571"
"Max Kepler","MIN","1.000","0","12144"
"Jackie Bradley Jr.","BOS",".962","1","12984"
"Steven Duggar","SFG",".972","2","17719"
"Paulo Orlando","KCR","1.000","0","8628"
"Brad Miller","- - -",".986","1","12775"
"J.P. Crawford","PHI",".929","1","15491"
"David Freitas","SEA",".996","1","10619"
"Greg Garcia","STL",".961","2","10951"
"Andrew Romine","SEA","1.000","0","1159"
"Kelby Tomlinson","SFG","1.000","0","13005"
"Joey Wendle","TBR","1.000","0","13853"
"Giovanny Urshela","TOR","1.000","0","10681"
"Adam Duvall","- - -",".994","1","10950"
"Chad Pinder","OAK","1.000","0","15191"
"Adrian Beltre","TEX",".947","10","639"
"Ben Zobrist","CHC",".983","1","7435"
"Jose Bautista","NYM","1.000","0","1887"
"Rosell Herrera","KCR","1.000","0","11611"
"Ketel Marte","ARI",".974","2","13613"
"Christian Yelich","MIL","1.000","0","11477"
"Andrew Romine","SEA",".969","1","1159"
"Francisco Arcia","LAA","1.000","0","10286"
"Alex Blandino","CIN",".941","2","16271"
"Chase d'Arnaud","SFG","1.000","0","6652"
"Renato Nunez","- - -",".907","8","14503"
"Juan Centeno","TEX","1.000","0","7168"
"Mark Canha","OAK","1.000","0","11445"
"Ramon Laureano","OAK","1.000","0","17128"
"Chad Wallach","MIA",".988","1","17161"
"Pete Kozma","DET","1.000","0","2539"
"Ryan Braun","MIL","1.000","0","3410"
"Hernan Perez","MIL","1.000","0","5751"
"Matt Kemp","LAD","1.000","0","5631"
"Alen Hanson","SFG","1.000","0","12926"
"Cory Spangenberg","SDP",".961","3","12294"
"Tony Kemp","HOU","1.000","0","14894"
"Chris Gimenez","CHC",".985","1","7324"
"Mike Marjama","SEA",".985","1","12594"
"Curt Casali","CIN",".989","2","12510"
"Jorge Bonifacio","KCR",".979","1","12174"
"Chase d'Arnaud","SFG","1.000","0","6652"
"Max Muncy","LAD",".908","7","13301"
"Adam Engel","CHW",".983","5","15082"
"Scott Schebler","CIN","1.000","0","12225"
"Ronny Rodriguez","DET",".978","1","11875"
"Ramon Torres","KCR","1.000","0","14113"
"Joe Panik","SFG",".986","4","11936"
"Hernan Perez","MIL","1.000","0","5751"
"Ian Desmond","COL","1.000","0","6885"
"Alex Blandino","CIN",".980","1","16271"
"John Hicks","DET",".987","2","12547"
"Eric Young Jr.","LAA","1.000","0","7158"
"Andrew Susac","BAL","1.000","0","13132"
"Russell Martin","TOR",".963","1","4616"
"Enrique Hernandez","LAD",".980","1","10472"
"Jacob Nottingham","MIL",".967","2","16448"
"Domingo Santana","MIL",".988","1","10348"
"Tony Cruz","CIN","1.000","0","2802"
"J.B. Shuck","MIA",".933","1","6677"
"Sean Rodriguez","PIT","1.000","0","6589"
"Andrew Stevenson","WSN","1.000","0","17932"
"Gordon Beckham","SEA","1.000","0","9015"
"Harrison Bader","STL",".985","1","18030"
"Eric Sogard","MIL",".971","1","7927"
"Randal Grichuk","TOR","1.000","0","10243"
"Cheslor Cuthbert","KCR",".936","2","10473"
"Jon Jay","- - -","1.000","0","5227"
"Enrique Hernandez","LAD","1.000","0","10472"
"Chris Taylor","LAD",".969","9","13757"
"Matt Carpenter","STL",".963","6","8090"
"Josh Donaldson","TOR",".970","2","5038"
"Hernan Perez","MIL","1.000","0","5751"
"David Dahl","COL","1.000","0","13744"
"Ryan McMahon","COL","1.000","0","15112"
"Ian Happ","CHC",".974","1","17919"
"Chase Headley","SDP",".947","1","4720"
"Corey Seager","LAD",".968","3","13624"
"Lonnie Chisenhall","CLE",".976","1","7571"
"Hernan Perez","MIL","1.000","0","5751"
"Pat Valaika","COL","1.000","0","14885"
"Chris Owings","ARI","1.000","0","10030"
"Grayson Greiner","DET",".993","1","17062"
"Giancarlo Stanton","NYY",".981","1","4949"
"Eric Thames","MIL",".978","1","3711"
"Enrique Hernandez","LAD",".985","1","10472"
