"Name","Team","PA","HR","R","RBI","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","H","2B","playerid"
"Dansby Swanson","Braves","418","10","42","48",".152",".300",".241",".297",".394",".288","78","92","22","18314"
"Freddy Galvis","Padres","500","10","45","52",".125",".291",".237",".297",".363",".287","81","108","21","6609"
"Manuel Margot","Padres","409","6","42","41",".134",".280",".243",".292",".377",".286","80","91","22","14712"
"Jose Pirela","Padres","414","3","51","28",".092",".302",".250",".307",".342",".286","80","95","22","5485"
"Adam Duvall","- - -","397","15","44","61",".180",".238",".199",".280",".379",".285","75","71","19","10950"
"Eduardo Nunez","Red Sox","415","7","47","36",".113",".290",".259",".285",".373",".284","74","103","18","6848"
"Amed Rosario","Mets","426","6","54","37",".126",".296",".242",".286",".369",".280","77","96","20","15518"
"Victor Martinez","Tigers","414","6","25","41",".090",".259",".248",".300",".338",".277","70","94","16","393"
"Dee Gordon","Mariners","481","2","54","24",".066",".314",".273",".294",".339",".277","75","124","14","8203"
"Billy Hamilton","Reds","422","3","58","24",".073",".314",".233",".301",".306",".272","66","89","9","10199"
"Scott Kingery","Phillies","402","6","46","32",".104",".288",".225",".266",".329",".260","59","84","19","17975"
"Alcides Escobar","Royals","437","4","44","26",".080",".235",".208",".260",".288",".243","47","83","16","6310"
"Chris Davis","Orioles","420","15","34","40",".144",".218",".162",".243",".306",".242","47","61","9","9272"
